id,lower,upper,size
b0,9,45,9
b1,50,54,30
b2,28,37,9
b3,1,40,20
b4,26,66,30
b5,29,38,4
b6,27,50,29
b7,6,44,31
b8,48,61,27
b9,27,68,29
b10,31,93,19
b11,10,27,20
b12,19,56,32
b13,50,66,32
b14,22,27,28
b15,24,50,8
b16,47,89,17
b17,5,94,29
b18,39,95,24
b19,24,36,20
b20,23,71,16
b21,13,85,30
b22,48,61,11
b23,35,50,21
b24,26,61,8
b25,14,79,14
b26,37,80,27
b27,13,77,26
b28,38,99,9
b29,1,43,5
b30,41,64,31
b31,49,68,8
b32,37,91,16
b33,23,33,23
b34,40,83,23
b35,26,54,11
b36,33,49,22
b37,24,47,13
b38,48,73,15
b39,31,50,31
b40,35,74,31
b41,8,17,18
b42,5,88,32
b43,19,56,18
b44,35,92,23
b45,4,36,12
b46,8,58,17
b47,18,97,10
b48,23,54,13
b49,26,46,27
b50,24,62,17
b51,6,64,19
b52,33,82,10
b53,20,46,12
b54,37,39,27
b55,31,80,24
b56,16,88,5
b57,7,27,25
b58,15,57,16
b59,35,93,32
b60,9,34,20
b61,7,64,29
b62,25,52,25
b63,21,95,17
b64,24,94,18
b65,7,66,24
b66,31,50,5
b67,11,18,29
b68,3,10,28
b69,29,82,29
b70,9,98,31
b71,12,96,6
b72,20,90,11
b73,31,45,28
b74,34,58,20
b75,36,56,17
b76,20,80,7
b77,50,66,23
b78,2,9,26
b79,10,31,22
b80,37,98,31
b81,41,78,22
b82,34,77,12
b83,24,79,15
b84,17,46,8
b85,45,85,14
b86,16,33,22
b87,48,71,13
b88,16,81,29
b89,24,59,26
b90,22,35,12
b91,45,87,27
b92,14,37,16
b93,11,14,24
b94,8,39,12
b95,2,72,32
b96,8,51,18
b97,26,94,13
b98,14,88,31
b99,25,81,28
b100,46,49,14
b101,15,49,26
b102,17,39,18
b103,39,59,29
b104,34,98,27
b105,38,40,27
b106,48,53,5
b107,29,86,30
b108,48,73,17
b109,13,99,7
b110,22,67,6
b111,6,73,9
b112,25,31,15
b113,24,65,25
b114,24,36,27
b115,35,65,4
b116,9,78,24
b117,28,91,10
b118,34,100,26
b119,17,26,7
b120,42,48,31
b121,9,80,32
b122,2,61,8
b123,9,62,18
b124,8,71,25
b125,14,91,12
b126,37,38,14
b127,23,74,20
b128,49,70,22
b129,12,88,26
b130,14,64,28
b131,10,63,20
b132,40,73,15
b133,43,74,20
b134,28,54,9
b135,20,95,5
b136,36,68,20
b137,24,75,32
b138,33,64,17
b139,24,88,22
b140,20,50,10
b141,4,66,21
b142,33,54,15
b143,14,81,13
b144,38,42,10
b145,23,80,23
b146,12,78,9
b147,3,57,31
b148,36,81,7
b149,3,39,12
b150,43,71,20
b151,11,93,25
b152,34,79,17
b153,27,82,31
b154,47,90,26
b155,50,59,11
b156,11,32,19
b157,31,86,11
b158,14,69,25
b159,13,51,28
b160,39,81,21
b161,18,67,30
b162,11,43,4
b163,37,39,19
b164,25,38,23
b165,10,29,24
b166,19,77,28
b167,32,39,25
b168,18,39,15
b169,16,92,4
b170,26,66,30
b171,32,42,6
b172,42,74,23
b173,37,93,23
b174,23,36,29
