id,lower,upper,size
s0,55,68,22
s1,56,76,96
s2,60,74,53
s3,27,59,31
s4,50,74,127
s5,57,84,60
s6,46,84,110
s7,52,81,118
s8,64,71,123
s9,75,86,7
s10,63,88,90
s11,54,74,22
s12,34,91,119
s13,68,73,4
s14,65,82,71
s15,70,91,30
s16,63,81,70
s17,25,40,59
s18,14,86,115
s19,44,55,89
s20,2,30,33
s21,35,42,23
s22,74,84,94
s23,7,60,55
s24,79,83,111
s25,42,80,105
s26,80,83,71
s27,48,89,43
s28,5,61,104
s29,32,89,107
s30,49,53,12
s31,16,26,109
s32,17,40,111
s33,21,85,103
s34,86,91,59
s35,18,49,105
s36,82,100,48
s37,85,100,43
s38,44,96,28
s39,62,83,23
s40,36,44,93
s41,52,82,123
s42,15,28,113
s43,69,79,58
s44,15,68,57
s45,41,90,21
s46,15,68,23
s47,77,99,115
s48,29,78,45
s49,60,69,27
s50,10,30,119
s51,63,65,59
s52,12,100,30
s53,55,74,46
s54,74,78,113
s55,11,37,43
s56,58,64,76
s57,8,40,127
s58,84,86,31
s59,89,94,8
s60,87,90,128
s61,33,74,103
s62,85,98,34
s63,69,72,103
s64,35,74,117
s65,14,21,76
s66,74,82,93
s67,20,89,116
s68,3,13,37
s69,71,81,93
s70,2,38,102
s71,81,86,109
s72,71,92,5
s73,1,44,115
s74,61,83,59
s75,14,69,53
s76,77,80,68
s77,75,80,59
s78,36,99,14
s79,16,76,16
s80,79,89,58
s81,61,83,106
s82,3,79,53
s83,51,59,15
s84,9,95,99
s85,84,90,22
s86,19,61,70
s87,63,64,28
s88,70,74,30
s89,34,65,56
s90,20,41,94
s91,76,100,66
s92,26,56,56
s93,48,66,101
s94,9,83,68
s95,45,52,120
s96,0,20,95
s97,60,97,124
s98,71,87,75
s99,65,84,16
s100,4,46,95
s101,57,93,16
s102,44,54,4
s103,11,26,64
s104,60,86,112
s105,23,96,20
s106,45,77,125
s107,34,61,114
s108,15,35,55
s109,22,98,15
s110,54,80,45
s111,7,39,17
s112,2,30,106
s113,15,93,47
s114,59,67,126
s115,1,93,102
s116,18,41,72
s117,57,69,25
s118,81,91,52
s119,29,47,20
s120,52,96,21
s121,17,68,93
s122,84,90,115
s123,62,68,40
s124,76,88,117
