id,lower,upper,size
b0,23,58,12
b1,31,90,28
b2,7,57,11
b3,8,68,20
b4,3,53,27
b5,26,48,11
b6,16,48,16
b7,18,69,12
b8,45,85,7
b9,14,84,20
b10,37,44,13
b11,29,67,20
b12,44,99,8
b13,46,98,26
b14,36,98,18
b15,40,45,23
b16,4,17,31
b17,1,30,25
b18,41,78,21
b19,35,85,17
b20,9,17,14
b21,47,81,15
b22,44,57,12
b23,9,65,20
b24,39,54,7
b25,16,98,19
b26,14,24,23
b27,21,85,31
b28,28,46,5
b29,23,35,10
b30,40,64,16
b31,49,50,26
b32,30,80,11
b33,16,32,12
b34,17,62,5
b35,6,70,24
b36,42,95,23
b37,7,41,13
b38,19,66,12
b39,18,75,5
b40,35,56,24
b41,6,61,25
b42,10,55,30
b43,48,74,27
b44,35,84,18
b45,42,71,8
b46,18,24,18
b47,38,54,27
b48,48,80,30
b49,23,55,24
b50,18,71,6
b51,35,65,22
b52,13,50,5
b53,10,55,10
b54,3,13,26
b55,37,87,15
b56,28,81,13
b57,25,53,6
b58,14,94,31
b59,19,73,17
b60,27,88,19
b61,28,96,27
b62,21,75,8
b63,19,80,6
b64,6,13,21
b65,1,59,13
b66,1,99,23
b67,9,24,12
b68,5,60,20
b69,50,56,19
b70,15,34,15
b71,12,38,13
b72,19,59,9
b73,4,29,26
b74,4,44,18
b75,32,53,31
b76,22,100,19
b77,35,71,31
b78,21,22,20
b79,26,79,12
b80,30,66,31
b81,36,81,17
b82,31,86,9
b83,30,92,12
b84,22,62,30
b85,43,44,11
b86,37,93,32
b87,49,59,15
b88,2,59,12
b89,26,59,8
b90,26,42,17
b91,39,80,5
b92,42,69,24
b93,19,100,11
b94,14,34,4
b95,32,46,30
b96,21,40,32
b97,6,99,23
b98,33,39,18
b99,45,68,29
b100,30,69,12
b101,46,48,7
b102,43,51,11
b103,5,17,19
b104,14,79,7
b105,43,49,7
b106,42,75,28
b107,9,34,25
b108,29,83,20
b109,50,91,25
b110,12,25,14
b111,35,50,17
b112,27,88,19
b113,36,51,9
b114,16,81,10
b115,21,62,17
b116,31,51,10
b117,0,37,18
b118,21,78,26
b119,24,34,32
b120,28,78,22
b121,22,25,21
b122,50,65,22
b123,41,65,4
b124,0,80,11
b125,34,98,20
b126,37,59,17
b127,26,96,21
b128,45,61,32
b129,29,59,31
b130,23,97,5
b131,41,54,14
b132,10,40,12
b133,24,73,6
b134,17,89,16
b135,42,62,19
b136,33,51,27
b137,0,91,19
b138,37,86,32
b139,16,58,22
b140,7,80,9
b141,8,15,25
b142,2,67,13
b143,2,16,10
b144,41,89,20
b145,0,95,7
b146,32,91,5
b147,42,81,11
b148,1,80,30
b149,13,81,22
b150,39,43,5
b151,21,76,21
b152,42,56,19
b153,26,62,28
b154,40,92,13
b155,0,4,22
b156,38,67,22
b157,37,83,21
b158,9,32,27
b159,10,22,15
b160,6,96,9
b161,9,17,21
b162,17,97,6
b163,5,66,15
b164,0,91,9
b165,46,59,18
b166,6,61,5
b167,38,45,5
b168,49,50,24
b169,22,96,13
b170,29,96,28
b171,22,61,25
b172,44,97,13
b173,12,73,28
b174,0,43,20
b175,8,94,17
b176,1,40,18
b177,2,58,23
b178,19,28,6
b179,29,46,13
b180,6,69,17
b181,16,29,19
b182,8,69,13
b183,39,75,31
b184,30,82,32
b185,26,53,32
b186,11,53,5
b187,41,95,18
b188,2,98,16
b189,31,80,28
b190,40,69,32
b191,31,32,23
b192,40,51,4
b193,22,83,17
b194,13,48,10
b195,22,89,11
b196,36,80,10
b197,36,64,5
b198,0,22,28
b199,37,75,30
