id,lower,upper,size
b0,39,75,17
b1,38,61,10
b2,4,95,30
b3,3,19,6
b4,1,67,16
b5,7,81,14
b6,15,51,15
b7,33,38,29
b8,22,46,15
b9,6,43,18
b10,21,63,24
b11,8,9,11
b12,44,87,29
b13,22,36,27
b14,36,99,26
b15,3,93,21
b16,15,66,13
b17,33,91,14
b18,14,39,24
b19,13,94,29
b20,49,94,20
b21,7,46,17
b22,16,93,5
b23,32,41,9
b24,20,79,4
b25,48,55,22
b26,18,34,16
b27,12,95,12
b28,37,48,28
b29,14,39,19
b30,47,62,12
b31,10,71,12
b32,42,63,26
b33,14,76,32
b34,45,65,6
b35,21,60,20
b36,10,55,8
b37,2,75,26
b38,25,68,26
b39,13,57,11
b40,4,43,12
b41,44,99,16
b42,41,54,31
b43,33,69,4
b44,20,82,22
b45,30,90,4
b46,49,84,23
b47,3,81,31
b48,20,83,16
b49,36,52,16
b50,11,83,16
b51,45,99,6
b52,9,50,17
b53,13,88,5
b54,35,66,6
b55,31,57,27
b56,42,94,10
b57,46,90,24
b58,20,38,6
b59,10,42,21
b60,0,12,26
b61,23,60,26
b62,33,49,21
b63,25,27,6
b64,43,49,23
b65,10,97,15
b66,7,54,13
b67,8,98,22
b68,34,82,20
b69,40,82,25
b70,37,64,18
b71,21,68,16
b72,32,69,6
b73,50,81,19
b74,16,52,12
b75,19,63,31
b76,15,74,14
b77,21,99,30
b78,44,97,9
b79,42,74,6
b80,43,70,27
b81,50,52,10
b82,7,96,13
b83,29,51,21
b84,4,79,18
b85,49,51,28
b86,27,82,29
b87,45,73,6
b88,42,93,13
b89,39,52,26
b90,24,90,27
b91,36,50,21
b92,16,61,25
b93,17,91,14
b94,9,95,13
b95,10,27,27
b96,1,4,6
b97,9,39,8
b98,44,72,12
b99,30,49,16
b100,17,91,29
b101,27,49,7
b102,32,67,28
b103,36,67,6
b104,14,97,9
b105,26,69,25
b106,10,67,22
b107,34,100,15
b108,10,21,27
b109,46,76,25
b110,25,33,8
b111,49,64,6
b112,14,33,22
b113,37,87,17
b114,9,29,5
b115,22,30,20
b116,7,45,8
b117,17,25,9
b118,50,92,18
b119,23,98,9
b120,44,95,26
b121,37,91,24
b122,48,49,30
b123,44,65,30
b124,4,86,27
b125,42,95,4
b126,37,55,28
b127,38,99,28
b128,6,31,28
b129,0,53,18
b130,7,25,5
b131,14,20,18
b132,12,35,15
b133,26,45,28
b134,2,62,12
b135,33,40,25
b136,39,84,13
b137,49,87,7
b138,0,5,4
b139,45,81,12
b140,46,96,19
b141,21,98,26
b142,39,51,32
b143,0,24,31
b144,34,41,32
b145,36,54,17
b146,6,92,24
b147,36,37,25
b148,11,28,29
b149,8,66,30
b150,23,60,20
b151,15,91,31
b152,49,70,28
b153,23,57,21
b154,9,58,4
b155,43,85,20
b156,39,98,23
b157,25,80,4
b158,37,76,26
b159,5,24,9
b160,26,38,7
b161,5,18,27
b162,48,50,10
b163,47,57,15
b164,43,73,22
b165,27,77,6
b166,28,67,11
b167,49,76,32
b168,5,55,27
b169,35,84,4
b170,14,30,11
b171,11,96,23
b172,38,71,25
b173,44,98,23
b174,10,43,21
b175,44,53,13
b176,13,26,23
b177,28,43,7
b178,50,52,14
b179,41,48,23
b180,9,26,25
b181,15,27,18
b182,21,70,18
b183,25,81,30
b184,23,77,28
b185,6,33,14
b186,4,8,10
b187,20,94,12
b188,14,66,20
b189,41,77,28
b190,4,79,20
b191,18,96,15
b192,40,62,22
b193,39,41,23
b194,3,89,10
b195,16,28,23
b196,20,72,25
b197,18,89,31
b198,30,49,7
b199,24,65,28
b200,12,87,31
b201,28,42,31
b202,34,59,30
b203,49,68,10
b204,28,87,13
b205,27,84,7
b206,14,58,20
b207,41,71,29
b208,11,28,21
b209,31,94,5
b210,38,50,27
b211,43,95,25
b212,37,95,12
b213,3,43,6
b214,43,88,22
b215,39,76,22
b216,33,52,15
b217,1,51,27
b218,2,62,4
b219,28,76,29
b220,45,57,32
b221,48,76,4
b222,43,52,22
b223,50,83,19
b224,41,84,24
