id,lower,upper,size
s0,73,86,13
s1,27,84,39
s2,24,31,112
s3,71,86,113
s4,33,94,118
s5,19,66,19
s6,22,46,69
s7,58,96,7
s8,56,74,96
s9,81,98,91
s10,81,82,35
s11,47,61,107
s12,79,85,125
s13,41,57,78
s14,40,83,7
s15,11,65,77
s16,0,94,92
s17,2,28,40
s18,88,92,87
s19,26,80,84
s20,38,56,16
s21,84,92,54
s22,45,69,110
s23,87,95,39
s24,81,96,38
s25,63,81,68
s26,11,48,62
s27,0,76,113
s28,51,65,75
s29,30,81,9
s30,19,23,16
s31,77,96,85
s32,75,79,110
s33,69,94,79
s34,48,66,118
s35,60,70,53
s36,13,71,65
s37,7,19,13
s38,75,83,109
s39,63,86,40
s40,53,71,85
s41,19,97,123
s42,60,91,123
s43,36,47,128
s44,7,89,107
s45,85,99,45
s46,26,88,27
s47,25,50,90
s48,13,55,81
s49,35,56,57
