id,lower,upper,size
b0,14,92,5
b1,4,23,25
b2,45,89,4
b3,16,78,10
b4,8,17,24
b5,25,59,18
b6,48,92,31
b7,27,72,30
b8,9,29,16
b9,29,93,4
b10,21,88,9
b11,28,30,14
b12,41,45,32
b13,28,57,23
b14,26,57,9
b15,38,100,4
b16,20,24,32
b17,29,86,28
b18,47,55,17
b19,40,92,27
b20,48,96,5
b21,12,24,27
b22,50,59,32
b23,11,33,9
b24,48,84,22
b25,18,42,30
b26,42,61,25
b27,39,82,12
b28,42,96,13
b29,26,98,19
b30,23,65,13
b31,2,8,12
b32,14,64,25
b33,45,51,4
b34,16,88,6
b35,11,48,6
b36,11,99,25
b37,50,74,16
b38,30,46,32
b39,30,100,19
b40,36,51,16
b41,49,71,28
b42,41,53,23
b43,7,87,30
b44,22,65,28
b45,48,86,7
b46,30,74,6
b47,14,97,6
b48,33,72,9
b49,32,57,18
b50,25,100,4
b51,23,28,32
b52,10,51,13
b53,37,89,24
b54,24,76,31
b55,42,63,21
b56,26,30,5
b57,12,60,4
b58,6,89,6
b59,20,44,23
b60,33,96,32
b61,2,40,7
b62,7,87,13
b63,30,87,26
b64,37,88,27
b65,1,47,17
b66,48,100,22
b67,12,86,28
b68,48,67,31
b69,49,85,21
b70,12,51,27
b71,23,77,28
b72,27,64,7
b73,32,84,12
b74,43,63,8
b75,0,7,14
b76,49,69,5
b77,48,54,29
b78,48,49,14
b79,42,63,16
b80,3,76,6
b81,21,83,28
b82,13,47,17
b83,12,71,16
b84,37,80,13
b85,23,55,7
b86,18,62,16
b87,0,33,31
b88,38,68,28
b89,42,79,31
b90,24,70,31
b91,28,94,29
b92,43,83,8
b93,30,83,23
b94,21,100,29
b95,31,57,21
b96,27,50,30
b97,50,97,28
b98,0,23,16
b99,28,58,23
b100,44,85,20
b101,42,99,16
b102,36,90,20
b103,28,60,27
b104,29,40,14
b105,29,88,30
b106,48,89,22
b107,18,61,6
b108,26,48,26
b109,43,89,22
b110,28,43,23
b111,11,54,10
b112,11,16,19
b113,25,40,21
b114,43,45,14
b115,19,71,4
b116,21,46,27
b117,19,68,6
b118,30,100,30
b119,33,96,12
b120,42,88,16
b121,49,92,15
b122,26,30,25
b123,39,100,12
b124,20,27,29
b125,7,63,11
b126,43,100,13
b127,12,23,14
b128,30,91,10
b129,39,47,29
b130,38,54,19
b131,20,50,24
b132,8,57,12
b133,13,89,4
b134,31,64,9
b135,45,95,25
b136,37,93,27
b137,23,62,18
b138,28,79,11
b139,6,34,9
b140,15,93,5
b141,34,63,17
b142,20,61,7
b143,20,78,24
b144,12,16,29
b145,49,59,10
b146,35,74,22
b147,39,86,21
b148,32,58,23
b149,45,60,21
b150,40,81,9
b151,9,73,31
b152,49,93,24
b153,12,51,16
b154,27,50,14
b155,27,61,8
b156,9,46,27
b157,46,55,25
b158,17,96,29
b159,47,74,6
b160,49,70,32
b161,21,66,21
b162,41,77,13
b163,48,96,16
b164,3,94,4
b165,27,69,16
b166,6,48,21
b167,25,82,28
b168,13,76,29
b169,42,76,13
b170,24,96,23
b171,1,67,14
b172,39,66,19
b173,13,54,4
b174,1,32,7
b175,40,86,19
b176,1,98,11
b177,43,50,11
b178,38,75,12
b179,4,82,9
b180,22,38,22
b181,30,100,12
b182,38,40,8
b183,1,59,8
b184,46,48,11
b185,39,87,8
b186,6,91,6
b187,9,40,9
b188,38,46,31
b189,14,44,14
b190,47,58,15
b191,33,39,27
b192,14,75,17
b193,3,12,15
b194,40,66,32
b195,19,56,32
b196,49,94,22
b197,47,50,14
b198,34,78,14
b199,23,38,27
b200,0,61,30
b201,7,89,19
b202,38,54,31
b203,15,99,27
b204,48,63,14
b205,15,16,16
b206,13,19,15
b207,4,75,4
b208,5,93,17
b209,32,93,21
b210,15,65,4
b211,2,77,22
b212,15,40,4
b213,27,98,28
b214,2,89,13
b215,21,29,27
b216,45,72,4
b217,24,53,26
b218,36,83,4
b219,47,62,6
b220,4,21,8
b221,48,65,9
b222,14,37,7
b223,50,54,14
b224,49,95,6
b225,16,56,14
b226,16,98,15
b227,39,62,30
b228,17,89,26
b229,11,49,28
b230,23,62,4
b231,15,68,19
b232,1,62,4
b233,21,45,32
b234,16,29,18
b235,11,24,7
b236,20,39,23
b237,41,80,5
b238,37,76,24
b239,14,54,11
b240,2,67,4
b241,30,73,25
b242,27,75,22
b243,39,44,28
b244,15,76,13
b245,13,52,12
b246,20,46,32
b247,19,44,8
b248,41,44,18
b249,8,89,20
b250,23,53,22
b251,47,66,20
b252,45,49,16
b253,15,42,26
b254,22,96,30
b255,4,33,29
b256,48,84,13
b257,2,52,11
b258,21,59,19
b259,47,84,23
b260,5,64,26
b261,18,80,25
b262,41,81,7
b263,16,83,28
b264,7,54,4
b265,36,43,10
b266,40,41,26
b267,1,29,29
b268,23,29,8
b269,6,56,11
b270,22,60,31
b271,25,67,31
b272,34,53,12
b273,19,73,20
b274,50,57,22
