id,lower,upper,size
b0,41,49,25
b1,36,61,11
b2,23,30,8
b3,10,62,5
b4,6,17,12
b5,29,94,14
b6,20,38,14
b7,46,62,14
b8,29,45,9
b9,25,60,19
b10,1,11,8
b11,4,40,14
b12,16,47,21
b13,22,23,26
b14,44,84,21
b15,29,54,18
b16,1,74,25
b17,33,47,7
b18,32,42,30
b19,13,82,6
b20,1,6,25
b21,14,71,10
b22,34,46,27
b23,29,86,16
b24,21,22,17
b25,17,57,21
b26,10,46,27
b27,34,51,7
b28,12,48,14
b29,50,62,20
b30,44,87,28
b31,7,24,22
b32,21,98,4
b33,49,90,24
b34,31,43,25
b35,33,43,28
b36,47,49,10
b37,16,27,28
b38,2,76,22
b39,50,99,15
b40,42,61,20
b41,37,58,23
b42,18,29,7
b43,31,85,30
b44,8,66,25
b45,24,60,18
b46,2,91,20
b47,2,65,24
b48,48,76,30
b49,43,48,5
b50,45,71,27
b51,44,66,21
b52,6,48,14
b53,13,68,19
b54,31,97,32
b55,23,51,7
b56,23,32,25
b57,36,39,9
b58,50,94,9
b59,35,76,10
b60,3,23,14
b61,23,50,27
b62,41,71,15
b63,44,49,28
b64,39,94,6
b65,14,21,20
b66,20,98,21
b67,42,81,24
b68,12,14,26
b69,27,69,22
b70,49,97,7
b71,50,80,18
b72,47,77,18
b73,24,89,20
b74,42,47,9
b75,37,61,23
b76,8,60,9
b77,22,48,13
b78,4,82,16
b79,1,74,11
b80,43,50,14
b81,48,81,22
b82,1,76,9
b83,31,77,20
b84,46,60,12
b85,17,71,32
b86,31,82,19
b87,13,16,19
b88,49,60,6
b89,15,73,6
b90,25,100,18
b91,19,27,19
b92,11,78,6
b93,20,22,19
b94,27,86,26
b95,6,12,28
b96,27,85,28
b97,31,39,29
b98,19,45,28
b99,15,22,22
b100,17,93,10
b101,30,100,12
b102,12,47,7
b103,4,11,28
b104,10,52,31
b105,36,59,29
b106,8,27,12
b107,36,49,11
b108,42,73,21
b109,16,24,6
b110,9,47,8
b111,1,96,21
b112,29,84,15
b113,31,32,12
b114,40,64,18
b115,24,65,15
b116,37,77,12
b117,40,100,30
b118,34,94,17
b119,30,40,29
b120,14,33,4
b121,48,63,14
b122,3,43,6
b123,3,59,4
b124,43,71,4
b125,28,34,32
b126,45,87,17
b127,48,72,4
b128,24,86,25
b129,4,98,30
b130,40,74,6
b131,8,57,8
b132,32,100,17
b133,34,84,31
b134,20,84,12
b135,42,87,29
b136,12,60,21
b137,23,34,24
b138,33,44,14
b139,12,97,28
b140,2,41,6
b141,23,33,16
b142,17,98,31
b143,31,100,17
b144,33,82,23
b145,28,88,17
b146,13,73,6
b147,20,32,16
b148,19,96,18
b149,32,46,24
