id,lower,upper,size
b0,41,87,17
b1,35,70,28
b2,19,59,24
b3,33,39,8
b4,41,75,31
b5,0,79,28
b6,33,93,19
b7,15,54,10
b8,48,99,31
b9,9,81,4
b10,35,71,23
b11,15,34,23
b12,46,69,30
b13,32,97,28
b14,37,74,32
b15,39,59,28
b16,32,83,23
b17,32,61,13
b18,49,90,17
b19,48,82,27
b20,35,94,8
b21,15,43,29
b22,3,95,9
b23,22,69,29
b24,11,77,29
b25,26,71,18
b26,5,97,14
b27,49,73,11
b28,16,55,11
b29,39,66,5
b30,38,72,32
b31,5,7,31
b32,33,80,32
b33,35,53,6
b34,40,72,7
b35,23,55,18
b36,7,38,29
b37,18,29,13
b38,27,54,7
b39,49,82,10
b40,37,73,26
b41,29,85,17
b42,26,38,29
b43,20,77,22
b44,10,46,10
b45,47,84,21
b46,17,66,4
b47,24,45,15
b48,14,36,16
b49,30,90,13
b50,33,51,30
b51,42,60,32
b52,17,24,6
b53,33,45,4
b54,25,34,7
b55,7,21,17
b56,23,88,27
b57,12,48,29
b58,14,70,17
b59,2,88,10
b60,16,25,25
b61,16,39,7
b62,38,42,6
b63,12,92,8
b64,45,59,22
b65,9,60,5
b66,42,94,27
b67,7,100,14
b68,50,73,21
b69,24,92,7
b70,17,81,15
b71,34,72,7
b72,15,46,18
b73,48,74,22
b74,25,27,18
b75,22,59,9
b76,23,85,18
b77,24,27,30
b78,19,59,23
b79,47,77,19
b80,22,98,11
b81,42,49,9
b82,17,49,22
b83,1,58,13
b84,39,94,22
b85,25,57,7
b86,43,47,31
b87,25,87,21
b88,48,64,8
b89,11,27,5
b90,46,59,23
b91,48,61,32
b92,18,81,6
b93,36,76,16
b94,24,33,4
b95,23,35,9
b96,22,43,7
b97,7,35,27
b98,50,72,20
b99,28,66,14
b100,37,56,16
b101,33,73,21
b102,31,81,27
b103,5,15,10
b104,46,88,6
b105,12,93,26
b106,21,45,28
b107,15,47,20
b108,36,86,11
b109,43,94,22
b110,19,84,18
b111,48,85,20
b112,29,97,32
b113,20,67,32
b114,34,67,30
b115,38,97,16
b116,13,77,8
b117,44,75,6
b118,0,23,15
b119,8,14,13
b120,28,79,31
b121,44,80,24
b122,22,100,23
b123,27,63,6
b124,45,46,26
b125,19,37,21
b126,0,5,25
b127,49,83,30
b128,49,53,15
b129,24,72,6
b130,6,66,4
b131,44,50,4
b132,49,58,30
b133,46,59,9
b134,0,77,12
b135,22,43,10
b136,30,40,25
b137,9,92,31
b138,35,59,20
b139,42,83,6
b140,1,16,4
b141,22,84,32
b142,12,80,11
b143,38,41,22
b144,27,50,24
b145,33,60,11
b146,47,61,16
b147,45,50,18
b148,47,65,4
b149,48,56,31
b150,21,82,5
b151,33,66,29
b152,31,76,5
b153,15,87,26
b154,44,78,19
b155,33,66,8
b156,49,50,17
b157,43,60,10
b158,20,73,22
b159,24,73,20
b160,2,32,29
b161,30,83,6
b162,34,40,4
b163,22,69,27
b164,46,60,15
b165,20,57,18
b166,36,40,25
b167,5,30,22
b168,50,53,23
b169,37,65,11
b170,19,88,24
b171,1,28,25
b172,18,35,26
b173,0,4,20
b174,30,76,23
b175,42,68,31
b176,17,63,4
b177,27,92,9
b178,44,89,21
b179,8,38,30
b180,46,76,32
b181,15,56,31
b182,37,47,21
b183,33,67,16
b184,6,27,10
b185,12,60,23
b186,43,74,9
b187,4,23,19
b188,14,97,14
b189,6,78,31
b190,27,63,13
b191,46,80,20
b192,35,69,8
b193,25,36,27
b194,0,18,30
b195,27,88,13
b196,49,56,11
b197,7,8,25
b198,48,76,19
b199,5,35,27
b200,21,30,15
b201,13,47,15
b202,0,5,11
b203,12,45,17
b204,30,41,21
b205,4,72,5
b206,47,67,23
b207,29,94,4
b208,50,78,6
b209,3,18,18
b210,47,88,30
b211,15,26,7
b212,30,53,32
b213,0,36,5
b214,23,48,7
b215,9,59,6
b216,10,53,8
b217,4,80,8
b218,43,71,8
b219,43,53,30
b220,31,95,19
b221,21,26,15
b222,18,52,25
b223,45,89,20
b224,30,77,5
b225,12,39,8
b226,7,71,32
b227,7,53,24
b228,20,76,28
b229,23,91,12
b230,28,80,8
b231,13,33,14
b232,49,89,19
b233,12,94,8
b234,6,7,29
b235,9,45,19
b236,15,49,15
b237,11,71,10
b238,16,79,28
b239,31,85,15
b240,48,91,22
b241,8,18,15
b242,20,65,28
b243,48,89,20
b244,10,84,23
b245,50,72,7
b246,14,40,11
b247,1,54,23
b248,29,33,31
b249,3,46,16
