id,lower,upper,size
s0,55,87,76
s1,77,82,81
s2,47,81,67
s3,49,81,37
s4,26,85,64
s5,50,96,16
s6,67,99,58
s7,25,48,82
s8,33,40,53
s9,52,60,109
s10,10,53,79
s11,71,82,48
s12,31,74,112
s13,77,79,59
s14,61,74,41
s15,19,35,43
s16,15,91,25
s17,77,91,78
s18,15,61,106
s19,70,89,96
s20,66,98,26
s21,46,58,17
s22,76,81,58
s23,36,42,39
s24,36,41,24
s25,77,81,17
s26,17,33,74
s27,83,99,69
s28,41,72,82
s29,86,88,97
s30,41,82,104
s31,2,57,69
s32,81,96,59
s33,8,47,25
s34,73,77,73
s35,82,91,114
s36,31,41,66
s37,38,84,11
s38,55,95,90
s39,53,75,99
s40,81,100,34
s41,69,98,53
s42,26,52,71
s43,76,99,10
s44,21,32,90
s45,12,62,22
s46,86,88,12
s47,77,87,21
s48,72,79,110
s49,21,30,104
s50,37,51,107
s51,52,94,79
s52,35,89,120
s53,75,77,62
s54,31,71,52
s55,52,79,59
s56,76,98,29
s57,65,90,102
s58,24,74,86
s59,51,58,8
s60,43,83,69
s61,38,44,106
s62,34,85,88
s63,22,91,54
s64,56,88,38
s65,35,65,109
s66,62,72,111
s67,89,98,80
s68,76,94,38
s69,84,100,30
s70,30,56,7
s71,23,55,93
s72,58,75,68
s73,49,77,12
s74,81,88,88
s75,81,92,8
s76,29,70,22
s77,37,76,115
s78,47,61,38
s79,15,41,75
s80,77,94,86
s81,36,43,88
s82,44,82,109
s83,52,84,105
s84,52,87,105
s85,59,83,120
s86,80,91,5
s87,77,83,69
s88,33,55,105
s89,71,85,94
s90,8,86,58
s91,67,73,18
s92,16,36,16
s93,85,90,48
s94,48,59,85
s95,48,89,66
s96,51,96,69
s97,52,70,68
s98,51,54,120
s99,25,49,111
s100,72,98,63
s101,26,98,127
s102,24,80,124
s103,0,53,18
s104,86,92,86
s105,64,78,106
s106,27,86,33
s107,27,47,24
s108,0,54,54
s109,73,84,14
s110,15,98,107
s111,61,77,40
s112,16,67,84
s113,80,94,65
s114,84,99,115
s115,6,93,108
s116,30,57,80
s117,67,87,121
s118,47,87,99
s119,79,99,66
s120,35,59,74
s121,54,89,62
s122,1,69,79
s123,83,89,89
s124,67,71,27
s125,21,83,38
s126,32,42,48
s127,50,55,108
s128,26,85,40
s129,54,60,22
s130,50,76,42
s131,75,96,110
s132,36,81,107
s133,36,46,124
s134,67,74,73
s135,32,59,86
s136,87,93,7
s137,4,46,61
s138,61,78,73
s139,2,74,116
s140,48,51,7
s141,54,81,26
s142,54,55,65
s143,62,100,45
s144,19,86,114
s145,61,81,57
s146,19,41,60
s147,55,98,95
s148,27,47,71
s149,26,97,96
