id,lower,upper,size
b0,32,75,17
b1,37,70,31
b2,9,65,18
b3,27,60,11
b4,21,47,15
b5,28,94,30
b6,9,32,9
b7,47,53,4
b8,36,87,14
b9,3,67,13
b10,45,91,7
b11,15,96,8
b12,49,59,5
b13,32,63,5
b14,33,73,30
b15,45,59,13
b16,24,47,6
b17,50,90,32
b18,7,73,16
b19,45,84,16
b20,45,49,31
b21,47,89,18
b22,42,46,31
b23,5,60,5
b24,34,39,22
b25,29,73,22
b26,17,53,27
b27,46,88,7
b28,4,67,7
b29,6,59,8
b30,1,17,8
b31,40,47,9
b32,50,89,16
b33,31,76,11
b34,22,34,8
b35,3,89,6
b36,33,67,5
b37,23,32,8
b38,6,78,9
b39,2,4,14
b40,21,36,18
b41,0,60,24
b42,38,61,9
b43,39,68,16
b44,41,79,17
b45,35,96,4
b46,44,62,20
b47,2,26,24
b48,49,83,31
b49,32,46,32
b50,8,74,27
b51,2,44,27
b52,10,43,4
b53,48,87,5
b54,31,49,31
b55,36,62,23
b56,23,80,13
b57,34,82,22
b58,7,26,9
b59,12,85,31
b60,19,44,5
b61,1,79,5
b62,8,57,7
b63,1,69,24
b64,41,56,31
b65,37,95,16
b66,2,46,12
b67,2,87,11
b68,31,85,5
b69,17,85,29
b70,16,40,30
b71,37,91,31
b72,45,97,23
b73,37,88,6
b74,38,100,5
b75,47,95,28
b76,45,50,5
b77,22,80,23
b78,24,55,22
b79,6,20,27
b80,39,45,18
b81,34,99,22
b82,7,40,5
b83,18,19,29
b84,13,67,25
b85,24,33,7
b86,2,31,21
b87,42,58,8
b88,50,99,28
b89,41,73,5
b90,49,83,17
b91,50,79,15
b92,29,75,31
b93,26,48,19
b94,29,33,12
b95,49,50,6
b96,23,47,15
b97,29,85,27
b98,21,67,13
b99,45,99,30
b100,39,89,22
b101,20,86,6
b102,38,40,23
b103,35,60,19
b104,30,66,18
b105,49,56,8
b106,40,53,24
b107,17,100,7
b108,49,57,13
b109,32,92,27
b110,25,81,6
b111,16,49,26
b112,46,85,5
b113,50,63,31
b114,18,46,8
b115,8,31,24
b116,50,65,19
b117,27,37,16
b118,33,46,18
b119,27,83,5
b120,49,58,19
b121,37,50,19
b122,5,85,9
b123,3,86,8
b124,37,89,30
