id,lower,upper,size
s0,42,98,123
s1,7,35,93
s2,89,92,127
s3,70,73,40
s4,89,100,105
s5,21,67,43
s6,64,90,58
s7,28,94,42
s8,76,94,122
s9,20,38,27
s10,4,72,25
s11,80,100,117
s12,72,96,10
s13,45,67,16
s14,86,91,22
s15,74,88,56
s16,2,99,43
s17,61,63,110
s18,38,59,117
s19,55,100,58
s20,65,67,99
s21,21,59,83
s22,45,58,77
s23,18,91,76
s24,58,85,10
s25,10,77,114
s26,25,84,75
s27,53,55,59
s28,41,66,80
s29,22,61,46
s30,17,39,70
s31,65,73,32
s32,72,86,27
s33,51,90,115
s34,31,70,40
s35,49,62,72
s36,77,100,23
s37,46,66,48
s38,12,82,62
s39,24,93,120
s40,63,81,12
s41,0,94,103
s42,40,94,16
s43,57,87,60
s44,58,72,97
s45,54,93,103
s46,3,38,36
s47,21,59,125
s48,34,76,53
s49,55,72,35
s50,58,86,112
s51,12,34,115
s52,44,92,25
s53,72,90,80
s54,19,31,95
s55,8,21,74
s56,71,77,127
s57,9,77,119
s58,12,25,120
s59,9,29,59
s60,16,20,49
s61,25,36,19
s62,81,93,62
s63,46,96,10
s64,83,98,86
s65,28,95,98
s66,60,79,71
s67,71,78,5
s68,2,48,68
s69,51,71,114
s70,50,93,113
s71,41,42,84
s72,23,49,83
s73,75,96,47
s74,54,73,52
s75,54,86,95
s76,80,92,33
s77,83,85,49
s78,65,71,10
s79,83,97,11
s80,64,70,54
s81,26,45,12
s82,30,68,109
s83,20,42,90
s84,55,70,92
s85,10,99,57
s86,62,68,79
s87,81,84,40
s88,24,90,126
s89,7,80,94
s90,8,77,71
s91,79,81,94
s92,30,35,70
s93,6,22,63
s94,36,81,105
s95,73,90,30
s96,89,93,24
s97,1,38,67
s98,47,84,67
s99,19,66,71
