id,lower,upper,size
s0,49,76,7
s1,40,85,94
s2,14,66,75
s3,89,98,61
s4,87,89,120
s5,48,77,87
s6,21,52,8
s7,49,77,93
s8,14,88,107
s9,84,85,55
s10,18,22,64
s11,0,36,42
s12,73,97,13
s13,36,97,100
s14,32,33,127
s15,63,65,28
s16,58,63,62
s17,47,83,73
s18,53,96,70
s19,16,31,120
s20,12,51,19
s21,39,44,27
s22,69,92,81
s23,7,38,111
s24,39,40,98
s25,1,78,35
s26,53,84,77
s27,71,88,101
s28,13,99,40
s29,86,88,12
s30,82,100,4
s31,83,86,5
s32,58,75,57
s33,27,57,15
s34,84,85,30
s35,45,87,12
s36,39,96,89
s37,26,56,94
s38,64,71,65
s39,88,94,24
s40,12,70,82
s41,11,88,128
s42,46,86,43
s43,64,74,123
s44,33,87,24
s45,89,98,125
s46,84,88,11
s47,82,94,31
s48,47,50,49
s49,28,32,50
s50,48,72,9
s51,49,60,9
s52,74,83,38
s53,13,88,104
s54,7,23,121
s55,77,80,32
s56,68,94,5
s57,35,44,93
s58,19,48,4
s59,53,73,115
s60,87,96,66
s61,56,61,106
s62,51,79,35
s63,23,74,82
s64,69,92,119
s65,70,100,110
s66,40,100,85
s67,14,16,53
s68,9,67,13
s69,40,72,19
s70,9,69,37
s71,7,18,116
s72,6,29,60
s73,71,89,26
s74,83,84,34
s75,80,99,54
s76,14,100,113
s77,25,52,23
s78,33,38,84
s79,41,53,25
s80,65,75,91
s81,11,52,92
s82,18,94,4
s83,78,98,98
s84,0,47,127
s85,0,39,21
s86,81,87,26
s87,27,77,13
s88,32,83,45
s89,42,80,93
s90,45,64,95
s91,32,95,43
s92,36,86,66
s93,44,62,27
s94,28,83,39
s95,55,98,10
s96,15,50,61
s97,58,63,59
s98,68,73,4
s99,46,87,89
s100,18,59,50
s101,31,84,15
s102,24,26,103
s103,48,92,102
s104,37,53,68
s105,26,91,105
s106,55,86,68
s107,36,52,106
s108,43,56,51
s109,49,50,106
s110,33,81,103
s111,74,89,56
s112,58,88,117
s113,80,92,79
s114,57,65,108
s115,86,95,82
s116,44,50,39
s117,3,47,13
s118,16,18,79
s119,80,86,17
s120,16,45,16
s121,55,86,106
s122,14,54,112
s123,0,39,51
s124,82,88,6
s125,88,92,50
s126,70,86,55
s127,80,93,21
s128,85,86,43
s129,18,52,111
s130,17,89,121
s131,76,94,31
s132,85,99,117
s133,29,41,72
s134,0,71,23
s135,90,94,81
s136,65,75,117
s137,0,40,82
s138,20,40,11
s139,42,77,41
s140,23,98,28
s141,1,43,53
s142,18,19,69
s143,49,88,18
s144,23,80,22
s145,61,90,21
s146,20,80,41
s147,64,73,110
s148,84,90,105
s149,32,54,13
s150,83,89,36
s151,52,84,66
s152,88,100,12
s153,76,81,92
s154,23,80,121
s155,26,84,18
s156,78,95,110
s157,33,91,23
s158,37,88,83
s159,1,58,123
s160,88,99,118
s161,25,79,54
s162,40,56,38
s163,67,81,108
s164,14,46,51
s165,64,80,121
s166,43,71,103
s167,27,100,48
s168,33,72,40
s169,5,48,10
s170,0,96,32
s171,20,37,123
s172,21,32,27
s173,83,84,108
s174,59,66,70
s175,32,60,12
s176,65,100,17
s177,72,97,65
s178,27,100,94
s179,84,89,73
s180,89,99,39
s181,20,76,44
s182,10,46,14
s183,39,89,37
s184,1,23,97
s185,20,47,8
s186,38,92,66
s187,17,46,116
s188,12,52,99
s189,7,100,7
s190,14,32,40
s191,1,62,84
s192,66,91,82
s193,7,17,108
s194,25,34,74
s195,86,98,15
s196,21,29,50
s197,33,88,113
s198,82,92,68
s199,25,53,56
