id,lower,upper,size
s0,11,88,84
s1,70,82,29
s2,20,86,82
s3,45,59,87
s4,27,82,114
s5,82,90,71
s6,27,96,19
s7,51,85,31
s8,0,67,37
s9,6,21,108
s10,31,38,66
s11,9,77,29
s12,59,79,66
s13,48,98,5
s14,35,98,102
s15,79,86,18
s16,21,86,67
s17,6,23,127
s18,39,99,42
s19,47,78,13
s20,60,89,99
s21,69,82,104
s22,75,96,42
s23,1,66,115
s24,52,65,76
s25,55,81,108
s26,67,83,99
s27,13,84,105
s28,47,48,98
s29,1,43,79
s30,74,75,16
s31,8,45,113
s32,46,91,12
s33,46,93,106
s34,67,88,5
s35,43,85,106
s36,70,88,11
s37,25,71,23
s38,21,45,64
s39,86,93,91
s40,8,30,20
s41,47,54,42
s42,88,95,83
s43,23,29,82
s44,78,86,34
s45,55,92,4
s46,44,71,100
s47,45,91,88
s48,51,70,51
s49,12,46,100
s50,40,75,105
s51,35,98,16
s52,20,76,36
s53,42,73,75
s54,47,54,19
s55,65,84,21
s56,10,64,57
s57,51,56,101
s58,37,41,75
s59,58,81,123
s60,59,99,105
s61,31,87,102
s62,13,78,118
s63,82,91,61
s64,57,99,16
s65,19,24,63
s66,73,84,15
s67,29,36,28
s68,72,94,99
s69,32,92,26
s70,34,76,110
s71,66,93,99
s72,39,80,42
s73,76,89,16
s74,2,18,73
s75,64,78,14
s76,20,51,60
s77,60,89,47
s78,65,87,92
s79,69,73,75
s80,58,71,57
s81,16,65,25
s82,66,73,62
s83,17,77,77
s84,28,79,69
s85,42,89,16
s86,7,90,21
s87,63,85,87
s88,25,69,55
s89,81,96,87
s90,71,77,124
s91,25,62,111
s92,10,31,11
s93,9,83,6
s94,3,98,87
s95,84,94,25
s96,50,83,55
s97,74,95,9
s98,46,49,94
s99,86,96,121
s100,48,49,74
s101,50,86,55
s102,52,71,39
s103,10,18,17
s104,30,33,10
s105,82,91,21
s106,15,82,26
s107,63,75,24
s108,47,95,53
s109,0,73,12
s110,46,81,75
s111,40,66,21
s112,24,63,10
s113,7,9,67
s114,85,89,102
s115,21,25,43
s116,18,62,91
s117,20,51,79
s118,34,68,115
s119,24,26,25
s120,86,99,118
s121,68,74,50
s122,63,77,5
s123,63,81,19
s124,66,89,113
s125,57,81,56
s126,51,58,16
s127,15,30,106
s128,5,37,35
s129,65,98,26
s130,80,81,61
s131,77,96,71
s132,47,57,99
s133,43,85,59
s134,42,62,16
s135,23,56,48
s136,68,88,69
s137,63,68,26
s138,16,68,62
s139,58,76,126
s140,0,62,50
s141,13,50,40
s142,33,54,62
s143,38,82,50
s144,52,96,114
s145,80,99,34
s146,4,72,112
s147,29,77,67
s148,73,100,76
s149,74,77,64
s150,57,79,34
s151,67,90,27
s152,55,94,41
s153,65,71,16
s154,46,51,96
s155,2,53,78
s156,80,91,71
s157,66,69,111
s158,86,87,37
s159,70,88,18
s160,63,90,88
s161,62,82,72
s162,37,62,5
s163,72,98,90
s164,5,53,75
s165,17,59,99
s166,85,99,118
s167,35,98,67
s168,85,99,87
s169,89,98,66
s170,68,76,17
s171,58,87,35
s172,47,96,98
s173,25,50,79
s174,65,83,34
s175,23,87,92
s176,80,81,62
s177,84,91,121
s178,40,82,119
s179,40,69,113
s180,80,92,128
s181,31,49,109
s182,7,25,82
s183,58,69,113
s184,34,48,115
s185,12,88,109
s186,30,74,109
s187,0,22,82
s188,34,64,110
s189,58,94,17
s190,57,69,49
s191,56,80,24
s192,6,62,109
s193,90,100,111
s194,68,84,5
s195,85,86,66
s196,12,45,61
s197,60,93,107
s198,63,96,45
s199,28,97,127
s200,30,42,126
s201,0,61,30
s202,89,99,40
s203,68,76,116
s204,63,97,10
s205,51,84,25
s206,76,77,24
s207,26,44,94
s208,61,74,111
s209,65,74,84
s210,39,66,92
s211,58,62,115
s212,5,33,127
s213,66,86,63
s214,1,77,114
s215,49,89,114
s216,88,96,72
s217,59,77,94
s218,79,100,78
s219,39,96,57
s220,63,83,82
s221,27,86,57
s222,74,92,92
s223,85,88,97
s224,67,96,17
