id,lower,upper,size
f0,1,7,117
w1,2,5,108
f2,4,8,132
w3,4,8,500
f4,5,8,291
w5,5,7,471
f6,8,13,300
w7,8,11,520
f8,10,13,295
w9,11,14,1090
f10,14,17,744
w11,14,19,1392
f12,17,23,427
w13,17,19,1645
f14,20,25,496
w15,21,24,880
f16,24,30,405
w17,24,28,1692
f18,27,32,460
w19,27,29,1770
f20,30,34,1012
w21,31,33,726
f22,34,39,840
w23,34,38,3072
f24,38,44,1469
w25,38,40,1885
f26,41,45,1036
w27,41,43,2240
f28,44,49,1185
w29,44,46,1500
f30,48,54,512
w31,49,53,2736
f32,50,54,1547
w33,51,54,2040
f34,51,55,1026
w35,52,56,1980
f36,53,58,2261
w37,53,55,1292
f38,54,58,1360
w39,54,59,4220
f40,55,58,1764
w41,56,60,3948
f42,57,62,1166
w43,58,61,5390
f44,61,66,1081
w45,61,66,3496
f46,63,69,1800
w47,63,68,2592
f48,64,68,2775
w49,64,68,2775
