id,lower,upper,size
f0,0,5,63
w1,1,4,241
f2,4,9,242
w3,5,7,322
f4,8,14,207
w5,9,13,204
f6,11,16,136
w7,11,13,848
f8,15,18,355
w9,16,21,740
f10,17,22,294
w11,18,23,996
f12,19,22,462
w13,20,24,721
f14,23,26,584
w15,23,26,1544
f16,27,31,360
w17,27,32,1620
f18,31,35,1220
w19,31,33,880
f20,32,36,847
w21,33,35,803
f22,35,39,1008
w23,36,40,2496
f24,37,42,936
w25,37,41,1105
f26,40,44,1442
w27,41,44,1890
f28,41,46,1350
w29,42,45,1080
f30,44,47,1600
w31,44,48,2160
f32,45,51,1156
w33,46,51,2533
f34,47,50,612
w35,48,50,1980
f36,50,56,1881
w37,51,55,4313
f38,54,57,800
w39,55,60,3360
f40,58,64,1827
w41,59,63,3486
f42,62,65,1232
w43,63,67,5236
f44,63,68,897
w45,63,67,5198
f46,64,68,1152
w47,65,70,3840
f48,65,68,1750
w49,66,71,5975
f50,66,72,2912
w51,66,69,3016
f52,68,73,2754
w53,69,73,5670
f54,69,74,2912
w55,69,74,5516
f56,71,76,1479
w57,72,74,4640
f58,74,77,3840
w59,75,78,4170
f60,77,82,1953
w61,77,80,4805
f62,79,84,1376
w63,79,84,5024
f64,81,84,3993
w65,82,85,2607
f66,82,88,3264
w67,82,87,4658
f68,83,89,3255
w69,83,86,3535
f70,87,91,1836
w71,88,93,4320
f72,91,94,2960
w73,92,97,2701
f74,93,97,1938
w75,94,98,8968
f76,96,99,3432
w77,97,101,9516
f78,97,100,1280
w79,98,103,8920
f80,98,104,3567
w81,99,104,8118
f82,102,105,3822
w83,102,104,7644
f84,104,108,2494
w85,104,109,3698
f86,108,111,2068
w87,109,114,3916
f88,111,117,4050
w89,112,116,4455
f90,115,118,1472
w91,115,117,8878
f92,116,122,4559
w93,117,121,9118
f94,117,123,3696
w95,118,120,11184
f96,119,123,6027
w97,119,122,9261
f98,121,127,5050
w99,121,124,12500
f100,123,127,5049
w101,123,126,3519
f102,126,131,5616
w103,127,129,6760
f104,128,131,5353
w105,128,131,13038
f106,131,136,4266
w107,132,136,9666
f108,133,137,2915
w109,133,137,7095
f110,137,143,2968
w111,137,141,5544
f112,140,143,2964
w113,140,143,8208
f114,142,145,2030
w115,143,145,11310
f116,145,150,6254
w117,145,150,7729
f118,149,155,4320
w119,149,153,4920
f120,150,154,1952
w121,150,155,6283
f122,151,155,7502
w123,151,155,15748
f124,154,159,4473
w125,154,158,9513
f126,155,161,2944
w127,156,160,4160
f128,159,165,4680
w129,159,162,14560
f130,163,166,4224
w131,163,168,4290
f132,167,172,5963
w133,167,169,14204
f134,168,173,2176
w135,169,172,13124
f136,172,175,8763
w137,173,178,5382
f138,176,182,3710
w139,177,179,8120
f140,179,182,5964
w141,180,185,4544
f142,180,184,3168
w143,180,185,13248
f144,182,185,4891
w145,182,186,17958
f146,184,189,5550
w147,185,187,14208
f148,185,191,7575
w149,185,189,6225
