id,lower,upper,size
b0,6,36,20
b1,13,26,30
b2,28,75,23
b3,2,10,13
b4,6,87,28
b5,33,37,23
b6,41,54,7
b7,11,48,8
b8,8,27,10
b9,50,96,22
b10,25,26,16
b11,26,89,8
b12,49,67,28
b13,33,77,18
b14,39,65,27
b15,46,94,15
b16,41,85,16
b17,49,85,13
b18,26,44,16
b19,19,32,15
b20,50,88,18
b21,13,69,4
b22,13,26,5
b23,13,67,32
b24,33,88,5
b25,11,25,19
b26,26,38,17
b27,20,72,27
b28,32,49,7
b29,28,56,31
b30,13,60,13
b31,39,67,27
b32,35,65,10
b33,47,98,29
b34,6,7,5
b35,32,88,23
b36,20,97,28
b37,6,96,32
b38,19,47,8
b39,15,97,24
b40,43,45,16
b41,18,96,15
b42,40,99,19
b43,7,61,22
b44,34,40,21
b45,38,99,5
b46,22,72,15
b47,3,19,32
b48,34,79,16
b49,37,95,30
