id,lower,upper,size
f0,3,7,34
w1,3,5,253
f2,7,12,110
w3,7,12,224
f4,10,15,294
w5,10,15,711
f6,11,16,172
w7,12,16,816
f8,13,18,310
w9,14,19,1165
f10,15,19,276
w11,15,18,930
f12,17,22,791
w13,17,19,987
f14,18,22,616
w15,19,22,1720
f16,21,25,810
w17,21,24,1620
f18,22,27,490
w19,22,27,1550
f20,24,29,396
w21,25,27,1628
f22,26,29,552
w23,26,28,2412
f24,27,32,663
w25,28,30,2366
f26,30,33,588
w27,30,33,1820
f28,34,39,960
w29,34,36,3345
f30,38,43,512
w31,38,41,3024
f32,40,43,1105
w33,40,43,3400
f34,41,47,1962
w35,42,45,1728
f36,43,47,931
w37,43,47,2622
f38,44,50,2560
w39,44,47,4680
f40,48,51,1407
w41,49,54,4914
f42,50,55,2508
w43,50,52,4026
f44,53,56,2093
w45,54,56,3174
f46,55,61,1032
w47,55,57,5760
f48,57,61,925
w49,57,60,5650
f50,59,65,2574
w51,60,62,2028
f52,63,68,1863
w53,64,68,3618
f54,65,70,3304
w55,66,71,4368
f56,68,73,957
w57,69,71,4901
f58,71,74,2250
w59,72,77,4290
f60,75,80,2945
w61,76,78,6727
f62,77,83,1984
w63,78,80,2272
f64,80,86,3960
w65,80,85,6798
f66,81,84,2754
w67,81,85,2754
f68,83,87,1435
w69,84,87,6335
f70,87,90,2160
w71,87,92,7452
f72,90,93,4403
w73,91,93,5550
f74,93,98,1558
w75,93,96,6156
f76,94,97,2925
w77,94,99,7800
f78,98,102,2880
w79,98,100,3680
f80,101,104,4879
w81,102,105,8651
f82,104,110,1932
w83,105,107,4158
f84,108,114,5418
w85,108,110,5031
f86,112,116,2200
w87,112,115,3124
f88,116,122,2475
w89,117,120,10305
f90,117,122,1564
w91,117,122,6578
f92,118,121,1786
w93,119,123,7191
f94,121,125,2928
w95,121,123,7056
f96,125,131,4410
w97,126,128,8526
f98,128,133,3850
w99,128,132,9650
f100,130,135,2244
w101,130,135,3978
f102,131,137,5408
w103,131,136,5148
f104,132,135,5194
w105,133,137,3445
f106,136,140,2106
w107,137,141,6318
f108,139,143,2530
w109,140,145,13420
f110,142,146,3808
w111,143,147,3584
f112,145,151,5871
w113,146,151,14307
f114,146,150,2204
w115,147,151,4756
f116,149,153,2065
w117,150,155,5900
f118,151,154,5760
w119,152,154,6420
f120,154,158,6771
w121,155,158,9516
f122,156,161,3224
w123,156,161,15562
f124,159,163,5796
w125,160,165,14553
f126,163,168,7040
w127,164,167,15424
f128,165,170,6370
w129,165,167,7215
f130,169,173,5808
w131,169,171,4356
f132,170,176,8375
w133,170,173,12395
f134,173,179,5236
w135,174,178,10472
f136,174,178,3036
w137,174,178,8487
f138,176,182,2240
w139,177,180,17780
f140,177,180,7668
w141,177,181,5609
f142,181,184,7560
w143,181,185,7056
f144,183,188,2774
w145,183,186,9636
f146,185,190,4662
w147,186,190,16058
f148,188,193,5550
w149,189,194,7875
f150,190,194,4332
w151,190,194,18240
f152,193,199,2618
w153,193,196,7469
f154,197,201,3666
w155,197,200,10764
f156,201,205,2765
w157,202,206,13509
f158,204,207,4240
w159,205,208,9680
f160,206,210,8181
w161,206,209,13932
f162,207,210,2952
w163,207,211,9512
f164,209,215,2656
w165,209,211,20916
f166,211,216,3444
w167,211,214,16380
f168,213,218,7650
w169,214,217,9350
f170,217,220,4558
w171,218,221,19350
f172,221,225,10440
w173,221,224,6525
f174,225,230,9592
w175,225,229,7392
f176,229,232,7209
w177,230,232,20292
f178,230,233,5130
w179,230,235,8640
f180,234,239,7644
w181,235,240,18018
f182,237,242,4416
w183,238,240,14260
f184,238,243,8091
w185,239,243,10974
f186,239,244,9400
w187,240,242,18612
f188,241,245,10165
w189,241,246,17385
f190,244,249,6240
w191,244,248,17568
f192,245,248,12319
w193,246,250,10282
f194,247,251,9016
w195,248,251,19600
f196,248,253,3960
w197,248,253,24552
f198,252,255,4600
w199,252,255,21300
