id,lower,upper,size
s0,65,80,104
s1,78,91,95
s2,7,39,70
s3,14,100,5
s4,65,97,107
s5,50,66,79
s6,54,79,96
s7,46,63,75
s8,69,100,45
s9,57,68,91
s10,78,80,15
s11,58,89,26
s12,32,83,122
s13,72,94,50
s14,90,99,36
s15,67,76,17
s16,5,72,68
s17,46,89,128
s18,23,77,120
s19,2,56,97
s20,84,94,88
s21,6,65,33
s22,52,62,111
s23,35,43,85
s24,29,33,104
s25,58,97,102
s26,90,99,104
s27,11,58,128
s28,58,72,61
s29,56,77,20
s30,66,86,27
s31,46,89,59
s32,74,91,25
s33,46,95,60
s34,56,96,48
s35,18,95,40
s36,75,98,13
s37,3,41,58
s38,4,9,37
s39,56,71,91
s40,90,99,91
s41,11,59,92
s42,66,70,85
s43,7,86,18
s44,52,100,71
s45,75,91,99
s46,50,93,119
s47,14,24,28
s48,60,85,52
s49,63,64,88
s50,12,81,116
s51,31,92,7
s52,47,51,35
s53,27,30,56
s54,19,72,13
s55,72,87,27
s56,42,61,83
s57,52,65,95
s58,38,68,124
s59,30,48,61
s60,87,88,13
s61,10,57,120
s62,8,86,68
s63,5,31,47
s64,70,94,97
s65,4,68,126
s66,22,30,75
s67,46,85,17
s68,88,99,40
s69,65,90,110
s70,5,54,26
s71,86,99,20
s72,48,60,19
s73,25,88,89
s74,44,59,72
s75,89,93,85
s76,4,55,35
s77,68,86,35
s78,21,77,35
s79,86,87,78
s80,76,93,61
s81,56,64,24
s82,41,88,96
s83,74,79,36
s84,30,89,49
s85,21,78,29
s86,52,85,75
s87,74,88,116
s88,12,62,39
s89,77,80,116
s90,29,76,40
s91,81,92,118
s92,22,72,74
s93,53,74,67
s94,83,84,45
s95,73,97,102
s96,11,80,20
s97,79,94,6
s98,72,88,16
s99,24,42,120
s100,90,99,81
s101,60,99,78
s102,59,98,10
s103,14,92,39
s104,41,96,78
s105,62,69,96
s106,3,87,31
s107,17,18,55
s108,55,91,84
s109,56,71,86
s110,40,97,6
s111,89,95,104
s112,39,91,105
s113,31,95,102
s114,40,49,34
s115,51,66,40
s116,35,81,70
s117,67,80,11
s118,63,83,103
s119,22,85,73
s120,62,66,21
s121,8,36,110
s122,82,85,110
s123,54,55,55
s124,3,6,67
s125,4,87,73
s126,59,88,120
s127,6,18,80
s128,59,62,11
s129,12,95,111
s130,77,97,122
s131,43,86,128
s132,22,52,63
s133,36,52,98
s134,38,82,11
s135,43,53,111
s136,48,58,10
s137,89,93,93
s138,69,83,39
s139,67,89,128
s140,71,84,113
s141,70,71,59
s142,29,66,45
s143,29,32,51
s144,21,38,27
s145,75,83,31
s146,79,98,66
s147,37,56,77
s148,15,63,88
s149,24,53,44
s150,39,71,126
s151,56,82,101
s152,43,72,10
s153,14,59,67
s154,44,81,126
s155,71,87,41
s156,59,62,30
s157,72,82,111
s158,11,28,35
s159,35,62,55
s160,9,14,17
s161,62,73,85
s162,55,71,71
s163,32,88,25
s164,4,64,14
s165,50,92,27
s166,0,90,55
s167,36,44,68
s168,70,84,97
s169,34,45,19
s170,50,56,28
s171,40,87,58
s172,1,85,118
s173,26,40,87
s174,88,93,21
s175,87,100,70
s176,21,62,86
s177,56,85,84
s178,9,48,34
s179,57,86,98
s180,77,91,87
s181,78,85,24
s182,1,95,24
s183,78,91,58
s184,3,65,112
s185,21,70,103
s186,73,95,125
s187,61,94,77
s188,84,90,106
s189,11,94,82
s190,23,92,93
s191,10,58,119
s192,6,26,26
s193,41,78,37
s194,43,68,110
s195,52,66,25
s196,36,97,80
s197,35,65,78
s198,30,34,115
s199,15,22,24
s200,69,96,78
s201,27,84,72
s202,0,95,67
s203,69,70,36
s204,79,86,16
s205,32,80,19
s206,13,99,35
s207,81,97,27
s208,18,54,47
s209,3,34,59
s210,75,77,52
s211,24,40,44
s212,22,35,85
s213,66,98,62
s214,90,94,20
s215,87,89,107
s216,86,90,44
s217,22,47,60
s218,28,74,46
s219,87,90,25
s220,89,95,80
s221,47,99,127
s222,69,85,120
s223,68,92,52
s224,79,84,127
s225,78,79,64
s226,0,68,25
s227,50,96,60
s228,69,81,7
s229,5,85,12
s230,77,79,81
s231,14,83,121
s232,19,78,87
s233,65,92,123
s234,78,96,61
s235,89,98,59
s236,43,49,87
s237,71,80,125
s238,13,40,11
s239,65,95,8
s240,30,60,32
s241,4,27,61
s242,28,35,68
s243,36,57,114
s244,86,87,80
s245,20,33,121
s246,16,44,91
s247,86,100,124
s248,56,58,51
s249,12,56,26
s250,22,46,57
s251,10,39,96
s252,35,60,64
s253,13,21,42
s254,65,83,10
s255,85,98,46
s256,28,83,115
s257,7,21,51
s258,13,100,96
s259,59,73,101
s260,42,95,41
s261,78,83,13
s262,41,84,26
s263,64,95,103
s264,19,42,113
s265,50,87,111
s266,56,57,9
s267,88,96,24
s268,76,99,125
s269,54,57,113
s270,81,82,117
s271,41,79,24
s272,17,61,24
s273,72,86,28
s274,15,68,71
s275,85,95,22
s276,28,58,111
s277,28,57,125
s278,35,39,51
s279,3,69,96
s280,66,79,112
s281,58,83,114
s282,49,51,56
s283,11,66,26
s284,47,73,8
s285,35,98,9
s286,68,81,49
s287,52,98,48
s288,69,99,35
s289,40,82,34
s290,0,34,27
s291,50,65,55
s292,45,88,27
s293,82,93,62
s294,33,67,87
s295,37,60,86
s296,63,88,68
s297,52,84,65
s298,60,74,78
s299,80,88,18
