id,lower,upper,size
s0,44,95,111
s1,44,45,27
s2,63,76,18
s3,68,83,9
s4,87,90,65
s5,71,93,79
s6,70,97,125
s7,19,79,40
s8,0,35,47
s9,10,42,67
s10,86,94,108
s11,73,98,53
s12,40,41,11
s13,10,25,16
s14,26,84,39
s15,74,93,97
s16,75,85,39
s17,66,69,103
s18,59,81,124
s19,6,80,109
s20,15,72,68
s21,19,96,36
s22,82,100,122
s23,89,100,21
s24,7,81,76
s25,4,94,48
s26,31,65,116
s27,40,71,9
s28,12,76,113
s29,14,94,31
s30,64,73,6
s31,39,71,47
s32,54,89,47
s33,48,82,82
s34,12,94,65
s35,39,42,12
s36,34,92,119
s37,31,40,128
s38,90,98,98
s39,5,10,36
s40,2,69,61
s41,88,93,21
s42,19,42,85
s43,12,61,33
s44,79,84,41
s45,73,81,83
s46,89,96,69
s47,5,58,55
s48,3,81,110
s49,86,98,123
s50,16,43,18
s51,20,27,5
s52,7,19,5
s53,78,83,60
s54,5,50,70
s55,86,87,117
s56,18,44,28
s57,32,92,73
s58,12,74,40
s59,50,76,44
s60,83,88,124
s61,41,70,25
s62,43,89,13
s63,58,93,117
s64,33,43,92
s65,17,61,46
s66,46,73,76
s67,44,82,28
s68,18,36,28
s69,11,86,47
s70,82,95,48
s71,72,91,29
s72,31,70,108
s73,80,89,67
s74,11,64,119
s75,0,31,13
s76,53,97,104
s77,25,84,12
s78,11,85,57
s79,51,56,100
s80,74,94,16
s81,36,69,32
s82,83,90,114
s83,0,56,119
s84,28,53,127
s85,49,62,9
s86,8,80,127
s87,36,46,7
s88,78,91,16
s89,74,92,111
s90,59,67,114
s91,20,44,119
s92,7,25,74
s93,86,96,101
s94,5,18,90
s95,60,71,40
s96,89,96,18
s97,46,63,34
s98,41,68,61
s99,73,93,127
s100,44,62,111
s101,83,91,8
s102,16,80,71
s103,4,23,111
s104,76,87,126
s105,40,64,57
s106,28,85,28
s107,58,98,77
s108,67,71,84
s109,28,53,4
s110,38,48,44
s111,10,92,77
s112,12,24,28
s113,55,93,10
s114,84,89,20
s115,21,58,57
s116,80,90,107
s117,74,79,121
s118,3,89,85
s119,10,100,5
s120,42,70,64
s121,57,91,63
s122,42,100,11
s123,35,47,101
s124,21,90,73
s125,13,71,107
s126,72,75,38
s127,39,40,26
s128,70,88,7
s129,84,93,102
s130,75,98,49
s131,19,67,120
s132,75,87,67
s133,7,87,22
s134,54,81,111
s135,14,82,39
s136,39,86,94
s137,34,45,39
s138,36,87,37
s139,13,33,128
s140,24,37,93
s141,86,96,42
s142,30,86,81
s143,70,90,126
s144,32,77,119
s145,66,97,123
s146,15,69,36
s147,78,85,38
s148,4,64,61
s149,29,35,114
s150,40,65,127
s151,2,34,48
s152,52,85,22
s153,2,6,27
s154,85,95,121
s155,27,57,117
s156,80,98,36
s157,84,92,108
s158,73,100,112
s159,48,89,85
s160,10,44,5
s161,78,99,49
s162,51,67,92
s163,18,88,83
s164,35,100,38
s165,29,55,88
s166,15,24,76
s167,45,51,119
s168,76,95,56
s169,9,32,25
s170,40,66,88
s171,65,89,67
s172,1,10,39
s173,71,90,78
s174,71,88,122
s175,85,96,106
s176,13,38,33
s177,44,90,84
s178,18,30,43
s179,16,70,70
s180,85,87,20
s181,49,51,121
s182,43,91,73
s183,6,80,37
s184,12,97,67
s185,1,8,121
s186,74,80,78
s187,14,44,89
s188,40,60,46
s189,73,84,4
s190,0,31,125
s191,63,95,62
s192,9,90,66
s193,15,97,73
s194,87,91,25
s195,61,93,119
s196,64,95,81
s197,86,88,48
s198,14,31,48
s199,54,55,113
s200,74,78,44
s201,56,79,94
s202,29,36,81
s203,7,14,56
s204,13,19,13
s205,9,55,25
s206,61,70,122
s207,70,94,11
s208,32,88,101
s209,37,41,33
s210,41,79,30
s211,74,86,40
s212,4,48,107
s213,78,92,119
s214,80,85,47
s215,29,62,123
s216,64,96,15
s217,56,59,40
s218,71,98,41
s219,16,41,60
s220,87,91,106
s221,79,81,75
s222,34,90,50
s223,3,22,62
s224,41,62,56
s225,37,91,22
s226,88,95,92
s227,60,93,116
s228,20,80,125
s229,84,100,46
s230,42,77,98
s231,48,67,123
s232,86,90,53
s233,75,90,29
s234,86,94,44
s235,54,75,73
s236,47,96,90
s237,0,85,40
s238,87,88,40
s239,84,91,24
s240,78,92,107
s241,26,50,74
s242,21,70,88
s243,35,87,41
s244,68,87,76
s245,33,98,93
s246,52,93,126
s247,33,48,26
s248,15,68,20
s249,28,74,125
