id,lower,upper,size
b0,22,41,5
b1,12,76,20
b2,9,41,31
b3,9,21,8
b4,24,54,12
b5,50,66,25
b6,4,68,29
b7,41,62,14
b8,36,83,20
b9,19,34,22
b10,34,36,21
b11,27,96,9
b12,35,71,17
b13,45,78,14
b14,14,38,4
b15,33,49,27
b16,49,52,13
b17,18,75,19
b18,49,59,25
b19,31,48,31
b20,15,99,26
b21,37,42,22
b22,44,90,12
b23,42,78,16
b24,32,45,31
b25,22,100,20
b26,37,96,14
b27,1,12,13
b28,32,89,11
b29,34,91,4
b30,4,53,19
b31,18,39,12
b32,33,39,18
b33,47,97,16
b34,40,96,18
b35,9,94,18
b36,20,37,6
b37,18,45,29
b38,4,14,21
b39,18,37,15
b40,36,41,18
b41,23,75,18
b42,35,79,19
b43,13,79,31
b44,7,39,31
b45,48,92,26
b46,45,71,25
b47,15,94,23
b48,16,71,13
b49,12,98,8
b50,20,53,26
b51,29,75,31
b52,42,83,8
b53,3,37,13
b54,8,35,9
b55,8,71,27
b56,20,29,17
b57,45,51,12
b58,5,27,25
b59,3,55,18
b60,11,72,30
b61,30,49,4
b62,35,80,6
b63,1,38,21
b64,14,47,16
b65,10,34,15
b66,27,47,4
b67,33,52,22
b68,18,89,9
b69,48,60,17
b70,12,22,6
b71,34,36,31
b72,7,53,24
b73,15,72,8
b74,15,53,19
