id,lower,upper,size
b0,38,84,18
b1,28,89,22
b2,11,81,25
b3,21,95,5
b4,45,89,21
b5,50,82,26
b6,34,98,21
b7,46,87,15
b8,34,77,4
b9,41,97,31
b10,11,33,28
b11,42,56,30
b12,39,66,32
b13,23,58,8
b14,15,30,24
b15,22,31,22
b16,2,15,8
b17,2,64,27
b18,24,25,27
b19,25,75,31
b20,28,88,31
b21,2,24,27
b22,3,36,4
b23,35,43,20
b24,21,98,25
b25,4,93,23
b26,6,31,32
b27,10,49,16
b28,35,97,19
b29,10,85,11
b30,20,47,11
b31,20,80,27
b32,7,79,23
b33,10,25,14
b34,5,46,11
b35,6,95,16
b36,31,90,20
b37,19,81,9
b38,7,18,17
b39,30,64,4
b40,31,49,32
b41,50,92,19
b42,50,94,6
b43,20,23,7
b44,34,81,9
b45,37,93,24
b46,45,67,32
b47,25,67,24
b48,46,92,15
b49,25,72,18
b50,16,43,16
b51,43,87,5
b52,10,36,12
b53,38,87,9
b54,28,69,6
b55,30,68,15
b56,40,64,25
b57,3,64,23
b58,14,51,15
b59,30,31,27
b60,8,74,15
b61,31,35,15
b62,13,69,29
b63,19,76,9
b64,6,94,24
b65,9,41,21
b66,24,100,32
b67,41,71,13
b68,48,66,9
b69,17,62,7
b70,6,25,26
b71,23,46,19
b72,19,26,24
b73,17,97,26
b74,35,65,24
b75,10,87,15
b76,24,79,30
b77,26,58,13
b78,6,33,16
b79,35,56,21
b80,40,77,7
b81,34,37,10
b82,34,70,28
b83,39,43,11
b84,0,44,26
b85,31,73,10
b86,11,46,31
b87,9,68,26
b88,14,40,31
b89,13,81,29
b90,47,77,24
b91,38,70,14
b92,45,47,14
b93,25,29,7
b94,4,93,6
b95,25,73,8
b96,48,49,29
b97,45,55,7
b98,18,63,23
b99,36,76,31
b100,11,48,31
b101,3,82,21
b102,6,38,18
b103,44,58,32
b104,7,22,30
b105,30,71,13
b106,39,83,29
b107,16,34,26
b108,47,64,17
b109,40,83,22
b110,47,95,6
b111,20,78,30
b112,27,76,21
b113,23,52,21
b114,16,43,15
b115,38,69,15
b116,40,79,28
b117,49,53,22
b118,0,78,20
b119,24,36,7
b120,7,45,27
b121,17,89,6
b122,4,12,7
b123,13,66,9
b124,19,72,6
b125,42,61,23
b126,22,58,19
b127,43,80,12
b128,44,87,18
b129,37,61,16
b130,41,67,30
b131,0,63,22
b132,5,99,14
b133,3,66,10
b134,20,47,28
b135,11,56,14
b136,37,60,22
b137,3,59,20
b138,30,84,30
b139,27,29,23
b140,2,61,26
b141,24,59,8
b142,49,66,30
b143,14,89,25
b144,48,76,26
b145,33,50,26
b146,33,96,5
b147,25,84,7
b148,20,36,18
b149,30,99,6
b150,22,54,18
b151,42,51,11
b152,40,64,31
b153,12,46,19
b154,46,66,14
b155,7,20,25
b156,15,81,5
b157,7,75,10
b158,16,27,13
b159,28,97,23
b160,7,22,20
b161,11,84,6
b162,2,81,13
b163,15,99,17
b164,5,33,25
b165,13,61,29
b166,41,100,5
b167,15,19,19
b168,32,71,14
b169,44,86,23
b170,35,63,20
b171,35,81,13
b172,25,28,6
b173,22,27,18
b174,42,74,23
b175,43,76,26
b176,31,70,10
b177,29,92,22
b178,12,48,28
b179,6,49,14
b180,36,72,17
b181,24,35,20
b182,7,43,7
b183,25,100,4
b184,24,71,5
b185,20,21,10
b186,16,51,4
b187,0,64,18
b188,23,88,27
b189,32,100,11
b190,24,50,32
b191,12,32,8
b192,43,74,4
b193,13,14,26
b194,39,91,25
b195,45,48,28
b196,15,74,17
b197,19,87,28
b198,43,46,12
b199,26,99,4
b200,6,73,9
b201,28,68,7
b202,28,98,22
b203,11,34,24
b204,33,87,18
b205,20,84,26
b206,13,59,9
b207,28,37,18
b208,23,58,27
b209,32,94,29
b210,28,38,8
b211,25,58,28
b212,11,45,20
b213,28,78,27
b214,12,27,7
b215,7,19,12
b216,0,42,26
b217,49,80,32
b218,3,82,28
b219,49,80,4
b220,2,78,27
b221,34,72,19
b222,29,54,19
b223,1,45,22
b224,4,49,27
b225,5,26,6
b226,21,75,9
b227,28,56,19
b228,8,67,26
b229,12,89,16
b230,44,56,19
b231,4,44,14
b232,4,83,19
b233,41,76,28
b234,36,49,9
b235,43,55,6
b236,50,96,31
b237,5,42,28
b238,25,78,27
b239,48,100,9
b240,36,65,8
b241,43,65,12
b242,16,100,7
b243,28,36,22
b244,39,45,11
b245,10,82,7
b246,44,77,28
b247,45,58,30
b248,32,98,26
b249,32,56,15
b250,17,36,29
b251,4,33,16
b252,40,48,6
b253,11,15,9
b254,29,96,6
b255,19,23,15
b256,42,83,29
b257,30,41,22
b258,6,32,5
b259,49,72,12
b260,5,72,23
b261,17,30,11
b262,28,64,32
b263,6,15,28
b264,11,41,22
b265,20,62,7
b266,2,82,20
b267,18,96,25
b268,22,28,23
b269,5,41,12
b270,44,49,13
b271,38,92,27
b272,50,71,4
b273,0,55,24
b274,3,92,9
b275,45,64,29
b276,0,54,29
b277,37,65,23
b278,20,33,5
b279,14,95,14
b280,40,79,25
b281,35,51,20
b282,31,80,17
b283,7,75,27
b284,15,93,26
b285,24,95,25
b286,33,46,13
b287,25,97,22
b288,35,65,10
b289,44,79,7
b290,10,59,4
b291,4,99,20
b292,13,45,5
b293,39,54,10
b294,28,91,25
b295,17,69,32
b296,28,54,9
b297,43,95,12
b298,15,39,14
b299,35,98,25
