workload,time_ms,peak_offset,avg_cpu,max_cpu,cpu_std,max_rss,mem_std,throughput,mem_efficiency,fragmentation,max_size,min_size,avg_size,num_buffers,capacity
rand_1.cap294.csv,20.89529999648221,266,0.0,0.0,0.0,8654848.0,3309568.0,1196.4413051838849,0.9047619047619048,28,31,4,18.08,25,294
rand_2.cap630.csv,41.5523999981815,623,24.425,97.7,42.305340974869836,8851456.0,3329079.278532129,1203.2999297799454,0.9888888888888889,7,32,4,18.22,50,630
rand_3.cap886.csv,312.0584999996936,859,42.763333333333335,390.6,78.79077561632594,9486336.0,1266055.931376767,240.33955171890412,0.9695259593679458,27,31,4,17.826666666666668,75,886
rand_4.cap1285.csv,126.23309998889454,1266,33.65,104.2,47.625264653682855,9707520.0,2016793.2958273692,792.1852510062541,0.9852140077821012,19,32,4,16.91,100,1285
rand_5.cap1416.csv,163.92360000463668,1412,31.34375,104.2,46.52436147802031,10063872.0,1871978.692801817,762.5503588041277,0.9971751412429378,4,32,4,16.536,125,1416
rand_6.cap1690.csv,230.21199999493547,1679,40.55909090909092,104.2,48.77659329759519,10457088.0,1708295.3618234475,651.5733324209855,0.993491124260355,11,32,4,17.66,150,1690
rand_7.cap2431.csv,459.1954999923473,2410,30.197619047619053,104.2,45.76608480240132,11223040.0,1511576.8286577319,381.1012956418703,0.9913615795968738,21,32,4,19.611428571428572,175,2431
rand_8.cap2566.csv,468.06639998976607,2555,37.48666666666667,104.2,48.13939758659221,11689984.0,1570288.8918393916,427.2898033363917,0.9957131722525331,11,32,4,17.655,200,2566
rand_9.cap2988.csv,7528.69059999648,2975,34.19108367626887,104.2,47.50699020175911,12480512.0,530613.1942369959,29.88567494062051,0.9956492637215528,13,32,4,18.38222222222222,225,2988
rand_10.cap3063.csv,673.7412999937078,3048,36.87384615384616,104.2,48.23125790452966,13107200.0,1810215.150921179,371.0623053720097,0.9951028403525954,15,32,4,17.832,250,3063
rand_11.cap3474.csv,870.4048000072362,3470,33.108333333333334,104.2,46.850443938368635,13975552.0,1956534.4761168584,315.9449488303761,0.9988485895221646,4,32,4,17.87272727272727,275,3474
rand_12.cap3848.csv,1201.2468000029912,3837,34.47413793103448,104.2,47.554181658633915,14594048.0,1934976.2304340708,249.7405195995136,0.9971413721413721,11,32,4,18.24,300,3848
stress_1.cap578.csv,21.111800000653602,566,48.85,97.7,48.85,8671232.0,3352576.0,1184.1718848807786,0.9792387543252595,12,124,8,64.4,25,578
stress_2.cap1655.csv,31.33230000094045,1602,34.733333333333334,104.2,49.120351066425506,8867840.0,3094415.8767833533,1595.7973081612022,0.9679758308157099,53,128,7,70.94,50,1655
stress_3.cap2144.csv,51.311000002897345,2072,41.68,104.2,51.04736623960144,9207808.0,2738547.004454326,1461.6748844451488,0.9664179104477612,72,127,5,62.72,75,2144
stress_4.cap3530.csv,84.05970000603702,3433,49.6625,104.2,49.702362557025396,9494528.0,2336325.286721864,1189.6307028554488,0.9725212464589235,97,127,5,68.22,100,3530
stress_5.cap3837.csv,1779.8889999976382,3815,33.806936416184975,104.2,47.640839069666406,9867264.0,566425.8583158728,70.22909855623911,0.9942663539223352,22,128,4,68.8,125,3837
stress_6.cap4748.csv,472.9576999961864,4649,32.70652173913044,104.2,47.05373617367383,10256384.0,1186034.0749932192,317.15309847203986,0.9791491154170177,99,127,5,67.49333333333334,150,4748
stress_7.cap4978.csv,421.09020000498276,4860,37.447500000000005,312.5,62.99440843241565,10727424.0,1428356.8027161842,415.5879191629946,0.976295701084773,118,128,4,67.36571428571429,175,4978
stress_8.cap5188.csv,15972.816800000146,5179,34.29928385416667,104.2,47.56414945407116,11186176.0,242921.2337857685,12.521273016791763,0.9982652274479569,9,128,4,61.94,200,5188
stress_9.cap7062.csv,614.0871999959927,6978,34.138333333333335,104.2,47.00144356530151,11657216.0,1341028.8500635854,366.39747580061635,0.9881053525913339,84,128,4,65.97777777777777,225,7062
stress_10.cap7170.csv,667.3308000026736,7076,33.0734375,104.2,47.36296760849761,12275712.0,1567101.4228517567,374.6267967835418,0.9868898186889818,94,128,4,66.804,250,7170
stress_11.cap7328.csv,2529.5714999956544,7231,35.15802469135803,104.2,47.643173518663005,12652544.0,1008143.4668504528,108.71406481314025,0.9867631004366813,97,128,4,65.12,275,7328
stress_12.cap8583.csv,816.6511000017636,8487,32.73037974683544,104.2,46.75996435995647,13516800.0,1902717.4001199084,367.35394099065337,0.988815099615519,96,128,5,65.56,300,8583
cnn_1.cap4374.csv,21.04600000893697,3779,0.0,0.0,0.0,8593408.0,3313664.0,950.2993438899174,0.8639689071787837,595,1300,35,579.8,20,4374
cnn_2.cap14724.csv,20.825799991143867,13558,195.3,390.6,195.3,8630272.0,3319808.0,2400.8681549454236,0.9208095626188536,1166,5390,108,1489.22,50,14724
cnn_3.cap43664.csv,31.29810000245925,38282,34.733333333333334,104.2,49.120351066425506,8843264.0,3162495.755642791,3195.0821293350873,0.8767405643092708,5382,12000,120,3200.88,100,43664
cnn_4.cap51516.csv,41.39959999884013,40337,50.475,104.2,50.527288419229464,8859648.0,2887179.3949056924,3623.223412888107,0.7829994564795404,11179,17958,63,4356.246666666667,150,51516
cnn_5.cap79043.csv,41.038399998797104,68069,50.475,104.2,50.527288419229464,8822784.0,2869138.17919737,4873.484346511129,0.8611641764609137,10974,24552,34,5826.855,200,79043
